,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_pos_count_new,total_ident_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,total_pos_count_old,total_ident_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,total_pos_count_diff,total_ident_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
226,2017-08-14,2017,229172,229172,292088311.3000154,3190216.116666053,163266,0,162,0.7675981358979341,100464987,28575738,71889249,229598,229598,245840689.28334567,3186027.1666658646,163826,0,163,0.7767663481389007,2245217608,28556942,62043417,-426,-426,46247622.01666972,4188.950000188313,-560,0,-1,-0.009168212240966533,-2144752621,18796,9845832,1274.5375146179088,1070.7440364608824,203.79347815702636,0.712416874661826,0.7135340900182058,-560
227,2017-08-15,2017,232886,232886,292382099.3500108,3234604.533332593,166696,0,134,0.7812964282953667,102635638,29268348,73367290,233794,233794,246467171.08334583,3230703.64999919,167436,0,134,0.7919279365595343,2253257507,29259422,63572159,-908,-908,45914928.26666498,3900.883333402686,-740,0,0,-0.010631508264167588,-2150621869,8926,9795131,1255.4730612832493,1054.2065710982567,201.26649018499256,0.715783688156437,0.7161689350453818,-740
228,2017-08-16,2017,242621,242621,292955929.40000874,3361690.983332528,175444,0,124,0.7941563178785106,106168408,30125083,76043325,243329,243329,247305752.28334802,3356794.4833325064,176171,0,125,0.8038540412363551,2262645729,30092344,66048737,-708,-708,45650177.116660714,4896.50000002142,-727,0,-1,-0.009697723357844468,-2156477321,32739,9994588,1207.4632014541558,1016.3431086444609,191.12009280969482,0.7231195980562276,0.7240033041684304,-727
229,2017-08-17,2017,241002,241002,293598421.91667265,3351647.2999992524,173233,0,311,0.7853793744450257,105199538,29972637,75226901,241843,241843,248218672.9500083,3347161.5999990753,174023,0,313,0.7959833445665127,2273003369,29937529,65593305,-841,-841,45379748.966664344,4485.700000177138,-790,0,-2,-0.01060397012148695,-2167803831,35108,9633596,1218.2406034666626,1026.3628591689994,191.87774429766318,0.7188031634592245,0.719570134343355,-790
230,2017-08-18,2017,241237,241237,294205437.8500008,3363666.2666658824,173918,0,368,0.78747455821453,106336176,29992225,76343951,242342,242342,249118563.10001218,3359584.9499991667,174711,0,368,0.7965354746597743,2282195248,29976070,66353795,-1105,-1105,45086874.749988616,4081.3166667157784,-793,0,0,-0.009060916445244205,-2175859072,16155,9990156,1219.570123364164,1027.9628091705613,191.60731419360263,0.7209424756567193,0.7209274496372895,-793
231,2017-08-19,2017,233095,233095,294349639.8666755,3216283.91666613,170497,0,299,0.7962161350522009,101167114,28341072,72826042,235016,235016,249415247.73334476,3214394.2833328294,171221,0,301,0.8014347959287916,2286808053,28359189,63492716,-1921,-1921,44934392.13333073,1889.633333300706,-724,0,-2,-0.0052186608765907305,-2185640939,-18117,9333326,1262.7883046254767,1061.2692230884059,201.51908153707086,0.7314485510199704,0.7285503965687442,-724
232,2017-08-20,2017,234903,234903,294661531.9666746,3307142.4999992964,172229,0,311,0.8024674014380238,105841254,29592146,76249108,235769,235769,250001204.31666988,3302036.9166660164,173004,0,311,0.8141570774783818,2292632339,29555942,66049066,-866,-866,44660327.650004745,5105.5833332799375,-775,0,0,-0.011689676040358088,-2186791085,36204,10200042,1254.3966316593428,1060.3650366107074,194.03159504863538,0.7331919983993394,0.7337860363321725,-775
233,2017-08-21,2017,238981,238981,295369178.6000059,3319494.716665881,174138,0,293,0.7964315154761162,102481679,29378341,73103338,239776,239776,250860817.01666024,3313870.1833331166,175024,0,294,0.8077080274923318,2303637988,29346640,64184428,-795,-795,44508361.58334568,5624.533332764637,-886,0,-1,-0.0112765120162156,-2201156309,31701,8918910,1235.9525594085133,1046.229885462516,189.72267394599726,0.7286688063067776,0.7299479514213266,-886
234,2017-08-22,2017,235050,235050,295402161.3666777,3263236.249999339,172735,0,289,0.8069134226760392,100204889,29077024,71127865,235756,235756,251150003.6499955,3258627.033333021,173446,0,289,0.816903917609729,2310423078,29041894,63473015,-706,-706,44252157.716682196,4609.2166663180105,-711,0,0,-0.009990494933689864,-2210218189,35130,7654850,1256.7630775012879,1065.2963387994178,191.4667387018701,0.7348861944267178,0.7357013183121532,-711
235,2017-08-23,2017,222722,222722,295314176.3499982,3253951.383332766,171236,0,295,0.8400472337712361,101795355,29230091,72565264,223399,223399,251290742.6333375,3248687.0833327402,171916,0,298,0.8497038930344155,2316346306,29191434,64265951,-677,-677,44023433.71666068,5264.300000025891,-680,0,-3,-0.009656659263179379,-2214550951,38657,8299313,1325.9317730174755,1124.851689727069,201.0800832904065,0.7688328948195509,0.7695468645786239,-680
