,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
20,2017-01-21,2017,154714,154714,216771548.41666675,2487731.8833333342,117082,0,64,0.7985508745168513,24931948,1514426482,572134,572134,215606112.03332976,2484064.4333332684,117449,0,64,0.21771123547980428,1592655527,-417420,-417420,1165436.383336991,3667.4500000658445,-367,0,0,0.5808396390370469,-1567723579,1401.1113953272925,376.8454803128808,1024.2659150144118,0.7567640937471722,0.20528232896489285,-367
21,2017-01-22,2017,151333,151333,216835143.56666672,2447727.0666666664,115104,0,101,0.8027660853878529,24754059,1521522785,574677,574677,215684640.73333022,2444263.1999999373,115502,0,101,0.2130988363898285,1603748665,-423344,-423344,1150502.8333365023,3463.8666667290963,-398,0,0,0.5896672489980244,-1578994606,1432.8345011773158,375.31455188450246,1057.5199492928134,0.7606007942748773,0.2009859451483181,-398
22,2017-01-23,2017,150219,150219,216896024.5166668,2461246.6833333345,114676,0,117,0.8031340908939618,24623037,1529183079,578931,578931,215766017.76666266,2458112.2166666333,115074,0,117,0.20999566442288037,1614288435,-428712,-428712,1130006.7500041425,3134.46666670125,-398,0,0,0.5931384264710815,-1589665398,1443.865453216083,372.69729512957963,1071.1681580865034,0.7633921141799639,0.19876980158257201,-398
23,2017-01-24,2017,148452,148452,216907621.50000012,2445759.4666666673,113766,0,74,0.8034718292781495,24230244,1534403364,579148,579148,215746535.4999975,2442189.3999999515,114180,0,76,0.20765158474172962,1621121650,-430696,-430696,1161086.0000026226,3570.0666667157784,-414,0,-2,0.5958202445364199,-1596891406,1461.1296681755728,372.52401027025473,1088.605657905318,0.7663487187777868,0.19715167798213928,-414
24,2017-01-25,2017,144065,144065,217024347.04999998,2391731.916666665,111815,0,117,0.8150973518897725,24196212,1541190818,579529,579529,215849460.56666267,2388758.9833332757,112143,0,117,0.20411230499250463,1630594999,-435464,-435464,1174886.483337313,2972.933333389461,-328,0,0,0.6109850468972678,-1606398787,1506.4335338215387,372.45670288572734,1133.9768309358114,0.7761427133585534,0.19350714114392895,-328
25,2017-01-26,2017,141155,141155,216828913.8166665,2314583.4666666673,107384,0,80,0.7975913003435948,23529691,1546438249,583327,583327,215666492.04999632,2311327.866666613,107689,0,81,0.19449296878079975,1641236065,-442172,-442172,1162421.7666701972,3255.60000005411,-305,0,-1,0.6030983315627951,-1617706374,1536.105088850317,369.71800045257004,1166.387088397747,0.7607523644220892,0.18461171864151668,-305
26,2017-01-27,2017,132475,132475,216179059.09999976,2255524.3999999985,103358,0,64,0.8176108699754668,23576061,1549501008,582713,582713,215057955.91666448,2252933.6333332867,103502,0,64,0.18667680316038862,1652275369,-450238,-450238,1121103.1833352745,2590.7666667117737,-144,0,0,0.6309340668150782,-1628699308,1631.847964521606,369.06325398037194,1262.784710541234,0.7802075863370447,0.17762088712625254,-144
27,2017-01-28,2017,133535,133535,215911273.01666635,2255904.649999996,102621,0,31,0.8104916314074957,24019771,1556033790,589973,589973,214824968.5666633,2252970.4499999667,102748,0,31,0.18403893059513107,1663769615,-456438,-456438,1086304.4500030577,2934.200000029523,-127,0,0,0.6264527008123646,-1639749844,1616.889003007948,364.1267796435825,1252.7622233643656,0.7684951510839855,0.17415712244458645,-127
28,2017-01-29,2017,139404,139404,216412478.98333317,2267117.1333333324,105674,0,66,0.8022797050299841,24239221,1566536427,598373,598373,215312848.68333092,2264426.1333332565,105844,0,67,0.18778755057464583,1674926904,-458969,-458969,1099630.300002247,2691.000000075903,-170,0,-1,0.6144921544553383,-1650687683,1552.4122620823878,359.83048814590717,1192.5817739364807,0.7580413761441566,0.1768863234136567,-170
29,2017-01-30,2017,138798,138798,217003484.5166667,2308767.2166666696,107689,0,70,0.8150765861179552,24270524,1577632494,604047,604047,215900019.2833311,2306005.066666648,107883,0,71,0.18814926653058855,1676033523,-465249,-465249,1103465.2333356142,2762.150000021793,-194,0,-1,0.6269273195873666,-1651762999,1563.4482090279882,357.422550369973,1206.0256586580153,0.775868528364962,0.17860034070196523,-194
