,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,avg_num_idents_non_zero_new,sum_num_idents_new,total_msg_count_new,total_pos_count_new,total_ident_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,avg_num_idents_non_zero_old,sum_num_idents_old,total_msg_count_old,total_pos_count_old,total_ident_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,avg_num_idents_non_zero_diff,sum_num_idents_diff,total_msg_count_diff,total_pos_count_diff,total_ident_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff,ratio
1556,2021-04-06,2021,236055,236055,489545867.31665665,3710683.449999589,173700,0,119,0.8223591959500942,1.1175705238917897,194122,256121648,57996118,198125530,236876,236876,445605137.4166698,3707243.5666659377,175854,0,121,0.8330012327124873,1.1220557962855384,197318,7500837986,57896981,175788135,-821,-821,43940729.89998686,3439.883333651349,-2154,0,-2,-0.010642036762393059,-0.00448527239374874,-3196,-7244716338,99137,22337395,2073.863579744791,1881.1746965360348,192.68888320875612,0.7358454597445511,0.7423884226346275,-0.006542962890076387,-3.892813641900122
1557,2021-04-07,2021,239442,239442,489578961.71665776,3747109.1333331005,175800,0,163,0.821781475263328,1.119277588168343,196769,255486702,58365204,197121498,240249,240249,445765018.6000005,3742741.46666606,177801,0,164,0.8312750521334038,1.1232389019184588,199713,7516409161,58249875,175573486,-807,-807,43813943.11665726,4367.6666670404375,-2001,0,-1,-0.009493576870075793,-0.003961313750115769,-2944,-7260922459,115329,21548012,2044.666189376374,1855.4292363339723,189.23695304240164,0.7342070313478838,0.7400696777093765,-0.005862646361492696,-3.648079306071871
1558,2021-04-08,2021,238015,238015,489975003.73332626,3730253.3333330518,175540,0,131,0.8291830346826893,1.1242907599407779,197358,251300356,58059865,193240491,238862,238862,446270745.4,3726806.183332675,177501,0,132,0.8393800604533117,1.1295485659235607,200496,7532789456,57967252,172186808,-847,-847,43704258.33332628,3447.150000376627,-1961,0,-1,-0.010197025770622425,-0.005257805982782804,-3138,-7281489100,92613,21053683,2058.5887600921214,1868.3203916905995,190.2683684015219,0.7375165430750162,0.7431110850616675,-0.005594541986651214,-3.704840613931523
1559,2021-04-09,2021,248752,248752,490679729.4999956,3863180.383332913,191562,0,164,0.8682704058660797,1.1274887503784907,215984,251032402,58889798,192142604,249540,249540,447125179.3166872,3858904.5499992734,193659,0,165,0.877174000160291,1.1302857083843254,218890,7550321526,58791943,170650597,-788,-788,43554550.18330836,4275.833333639428,-2097,0,-1,-0.008903594294211281,-0.002796958005834682,-2906,-7299289124,97855,21492007,1972.5659673087878,1791.7976248965585,180.76834241222923,0.770092300765421,0.7760639576821351,-0.005971656916714085,-3.6878172588832485
1560,2021-04-10,2021,249296,249296,491237018.34999603,3874599.9666663385,190230,0,243,0.853643861112901,1.1186984177048998,212810,247870415,58137612,189732803,249825,249825,447826210.61668175,3870325.4333326863,192380,0,244,0.8632122485739951,1.120968915687706,215652,7568808523,58002985,167999106,-529,-529,43410807.733314276,4274.533333652187,-2150,0,-1,-0.009568387461094119,-0.0022704979828063188,-2842,-7320938108,134627,21733697,1970.496992932081,1792.5596342106744,177.93735872140655,0.7630688017457159,0.7700590413289302,-0.006990239583214319,-5.3724007561436675
1561,2021-04-11,2021,246963,246963,491844547.8666614,3851618.1833330505,187420,0,165,0.8556220972372447,1.127451712730768,211307,244925692,57464613,187461079,260201,260201,448501841.850026,3858224.016666097,194942,0,166,0.8451773821007645,1.1281098993546994,219916,7586955135,57366510,165808846,-13238,-13238,43342706.01663542,-6605.833333046641,-7522,0,-1,0.010444715136480154,-0.0006581866239314671,-8609,-7342029443,98103,21652233,1991.5718057630554,1723.674551020273,267.8972547427825,0.7588991063438653,0.7491977355967118,0.009701370747153493,-0.6503248224807373
1562,2021-04-12,2021,245237,245237,492367551.61666524,3855078.6499995473,187522,0,370,0.8604941342456307,1.125334627403728,211025,247240345,57128383,190111962,261426,261426,447923901.5666825,3913175.333332638,196551,0,374,0.8463083243441557,1.1256467786986908,221247,7557809351,57197731,167822539,-16189,-16189,44443650.04998273,-58096.68333309051,-9029,0,-4,0.014185809901475,-0.0003121512949628702,-10222,-7310569006,-69348,22289423,2007.7213129204208,1713.3869682689653,294.33434465145547,0.7646562305035537,0.7518418213949646,0.012814409108589109,-0.6314163938476743
1563,2021-04-13,2021,248214,248214,492655970.0166697,3805069.233332946,186946,0,164,0.8418622640141089,1.117766627796254,208962,250291797,57304385,192987412,248809,248809,442784839.51667535,3801094.533332594,189151,0,165,0.8521878227877563,1.1209668465934746,212032,7386443889,57170253,170690241,-595,-595,49871130.49999434,3974.7000003517605,-2205,0,-1,-0.01032555877364738,-0.0032002187972206553,-3070,-7136152092,134132,22297171,1984.803314948672,1779.6174556253004,205.1858593233717,0.753164607959261,0.760225715307726,-0.00706110734846499,-5.159663865546219
1564,2021-04-14,2021,246109,246109,493108675.3833387,3820139.716666165,184459,0,160,0.8337525242880224,1.1124098038046297,205194,253240726,58028979,195211747,246702,246702,443334885.85002327,3816182.1333326185,186408,0,161,0.8430454556509492,1.1157300115874973,207981,7403112088,57897278,172503856,-593,-593,49773789.53331542,3957.5833335462958,-1949,0,-1,-0.00929293136292686,-0.003320207782867568,-2787,-7149871362,131701,22707891,2003.619028086493,1797.0461765612897,206.5728515252033,0.7495012372566627,0.7555998735316293,-0.00609863627496654,-4.699831365935919
1565,2021-04-15,2021,249061,249061,493440217.18333775,3847645.016666248,186565,0,164,0.831740015498232,1.1103583201565466,207154,258691496,58590300,200101196,249604,249604,443866352.60001045,3843556.233332602,188482,0,165,0.8412685694139453,1.1140798590846752,209984,7418966241,58460317,176154507,-543,-543,49573864.58332729,4088.7833336461335,-1917,0,-1,-0.00952855391571339,-0.0037215389281286537,-2830,-7160274745,129983,23946689,1981.2022644385822,1778.2822094197627,202.92005501881954,0.7490735201416521,0.7551241166006954,-0.006050596459043378,-5.211786372007366
